id,question,answer,follow-up,relation,generated_follow_up
3242,"ELI5: What is a ""credit""? What is a ""debit""?",Credit is something owed to you. A debit is taken from you.   A credit card charge is a debit to you and a credit to the card company.,"Got it, thank you. So when I pay with debit, then money is taken out of my account. That makes sense. But if I pay with my credit card, then who do I owe money to? This is what confuses me.",Related,Why might a credit be accepted by an issuer even if it is not accepted by a bank?
3242,"ELI5: What is a ""credit""? What is a ""debit""?",Credit is something owed to you. A debit is taken from you.   A credit card charge is a debit to you and a credit to the card company.,"Got it, thank you. So when I pay with debit, then money is taken out of my account. That makes sense. But if I pay with my credit card, then who do I owe money to? This is what confuses me.",Related,How do credit and debit cards differ in their processing and data processing processes?
3242,"ELI5: What is a ""credit""? What is a ""debit""?",Credit is something owed to you. A debit is taken from you.   A credit card charge is a debit to you and a credit to the card company.,"Got it, thank you. So when I pay with debit, then money is taken out of my account. That makes sense. But if I pay with my credit card, then who do I owe money to? This is what confuses me.",Related,Can you explain how a credit is used to pay bills or rent?
3242,"ELI5: What is a ""credit""? What is a ""debit""?",Credit is something owed to you. A debit is taken from you.   A credit card charge is a debit to you and a credit to the card company.,"Got it, thank you. So when I pay with debit, then money is taken out of my account. That makes sense. But if I pay with my credit card, then who do I owe money to? This is what confuses me.",Related,"What are some examples of ""debit"" on a credit card?"
3243,ELI5 How do you make friends?,"Honestly mate. Just be you. Interact and engage with people in ways in which you feel comfortable. Don’t be afraid to step out of your comfort zone. Just say hi.   People might not return your engagement, but that’s the worst of it. Others will say hi and speak with you. Build on those engagements. Utilise the internet etc and build friends through that.   My post history is probably a good example of how not to make friends, but I’m not trying to! I keep my online and real life separate.",How do you figure out who you are?,Related,What are some examples of online platforms that can be used for making friends?
3243,ELI5 How do you make friends?,"Honestly mate. Just be you. Interact and engage with people in ways in which you feel comfortable. Don’t be afraid to step out of your comfort zone. Just say hi.   People might not return your engagement, but that’s the worst of it. Others will say hi and speak with you. Build on those engagements. Utilise the internet etc and build friends through that.   My post history is probably a good example of how not to make friends, but I’m not trying to! I keep my online and real life separate.",How do you figure out who you are?,Related,How can online interactions help in making new friends?
3243,ELI5 How do you make friends?,"Honestly mate. Just be you. Interact and engage with people in ways in which you feel comfortable. Don’t be afraid to step out of your comfort zone. Just say hi.   People might not return your engagement, but that’s the worst of it. Others will say hi and speak with you. Build on those engagements. Utilise the internet etc and build friends through that.   My post history is probably a good example of how not to make friends, but I’m not trying to! I keep my online and real life separate.",How do you figure out who you are?,Related,"I think that's the best answer I've read so far.  I'd like to add one more though:    If you don't feel like talking to people, don't talk to online platforms?   It's easy to become attached to someone online, but it's harder to make a meaningful connection.   I've tried to do both, but I feel like I'm more attached to online friends than to real ones.  Maybe that's a problem I need to fix?"
3244,ELI5: How does fetuses absorbing other fetuses work?,"Short answer, the foetus that gets absorbed has its cells get attached to the other one, combining the two, this absorbed foetus now stops developing and becomes a parasitic twin while the other continues developing and becomes the dominant one, i.e the one that's actually alive",">a parasitic twin  Does the absorbed twin still have its shape and substance, just fully embedded/attached to the living twin?   Or how does it end up?  I am thinking of the cases where a woman with chimerism is tested to not be a DNA match to the children that she conceived, carried and birthed. Fraud was suspected and all that. I think maybe they finally determined that her DNA was different in different areas of her body, based on where the absorbed twin cells existed. Testing DNA against another body area confirmed she was the mother of her children. Or something like that?  https://embryo.asu.edu/pages/case-lydia-fairchild-and-her-chimerism-2002  https://abcnews.go.com/Primetime/shes-twin/story?id=2315693",Related,What is the significance of nutrient partitioning in nutrient absorption?
3244,ELI5: How does fetuses absorbing other fetuses work?,"Short answer, the foetus that gets absorbed has its cells get attached to the other one, combining the two, this absorbed foetus now stops developing and becomes a parasitic twin while the other continues developing and becomes the dominant one, i.e the one that's actually alive",">a parasitic twin  Does the absorbed twin still have its shape and substance, just fully embedded/attached to the living twin?   Or how does it end up?  I am thinking of the cases where a woman with chimerism is tested to not be a DNA match to the children that she conceived, carried and birthed. Fraud was suspected and all that. I think maybe they finally determined that her DNA was different in different areas of her body, based on where the absorbed twin cells existed. Testing DNA against another body area confirmed she was the mother of her children. Or something like that?  https://embryo.asu.edu/pages/case-lydia-fairchild-and-her-chimerism-2002  https://abcnews.go.com/Primetime/shes-twin/story?id=2315693",Related,What is the significance of nutrient partitioning in the process of fetal absorption?
3244,ELI5: How does fetuses absorbing other fetuses work?,"Short answer, the foetus that gets absorbed has its cells get attached to the other one, combining the two, this absorbed foetus now stops developing and becomes a parasitic twin while the other continues developing and becomes the dominant one, i.e the one that's actually alive",">a parasitic twin  Does the absorbed twin still have its shape and substance, just fully embedded/attached to the living twin?   Or how does it end up?  I am thinking of the cases where a woman with chimerism is tested to not be a DNA match to the children that she conceived, carried and birthed. Fraud was suspected and all that. I think maybe they finally determined that her DNA was different in different areas of her body, based on where the absorbed twin cells existed. Testing DNA against another body area confirmed she was the mother of her children. Or something like that?  https://embryo.asu.edu/pages/case-lydia-fairchild-and-her-chimerism-2002  https://abcnews.go.com/Primetime/shes-twin/story?id=2315693",Related,"So if I understand right, once it's absorbed, it stops developing, stops having new cells, and becomes a parasitic twin?"
3245,ELI5: Eye colors warmth?,"Warmth is about color tone.  Warm tones are yellows, reds, oranges. When you have solid brown and add some yellow,  you get a warm brown.  Cool tones are blues and purples, take solid brown and had some blue,  you have cool tone brown eyes.",But the only pigment in our eye is melanin which is brown right?,Slightly Related,What role does melanin play in determining eye color?
3245,ELI5: Eye colors warmth?,"Warmth is about color tone.  Warm tones are yellows, reds, oranges. When you have solid brown and add some yellow,  you get a warm brown.  Cool tones are blues and purples, take solid brown and had some blue,  you have cool tone brown eyes.",But the only pigment in our eye is melanin which is brown right?,Slightly Related,What is the significance of pupil dilation in determining eye color warmth?
3245,ELI5: Eye colors warmth?,"Warmth is about color tone.  Warm tones are yellows, reds, oranges. When you have solid brown and add some yellow,  you get a warm brown.  Cool tones are blues and purples, take solid brown and had some blue,  you have cool tone brown eyes.",But the only pigment in our eye is melanin which is brown right?,Slightly Related,How does the absorption of light by the iris affect eye color?
3246,ELI5: How can solar physicists make observations of emission lines inside the Sun?,"Normally, telescopes work like big fancy digital cameras, light gets focus with lenses/mirrors onto a grid of really tiny buckets that count the amount of light particles that fall into it  For spectroscopy (finding these emission lines), the light is instead focused into a glass prism which splits the light apart based on its color, like that old Pink Floyd logo, which then gets spread onto a long line of those buckets, since amount the light breaks depends on its color, each bucket will now only catch light from a unique color  Turns out, the sun emits almost every color we know, except for a very few select colors, these specific colors are the ones absorbed by the stuff at the very outer layer of the sun and where the lines are on the spectrum tells us what element does the absorption and therefore what the surface of the sun is made of  Edit: the corona is extremely diffuse and basically transparent, the photosphere is actually what you see when you look at the sun, you can only see the corona during total solar eclipses, all the light wee see from the sun comes from this photosphere","So, we can see emission from the transition region because we see specific colors? Even though the transition region is under the corona?",Related,How do high-resolution spectrographic instruments contribute to our understanding of the sun's composition?
3246,ELI5: How can solar physicists make observations of emission lines inside the Sun?,"Normally, telescopes work like big fancy digital cameras, light gets focus with lenses/mirrors onto a grid of really tiny buckets that count the amount of light particles that fall into it  For spectroscopy (finding these emission lines), the light is instead focused into a glass prism which splits the light apart based on its color, like that old Pink Floyd logo, which then gets spread onto a long line of those buckets, since amount the light breaks depends on its color, each bucket will now only catch light from a unique color  Turns out, the sun emits almost every color we know, except for a very few select colors, these specific colors are the ones absorbed by the stuff at the very outer layer of the sun and where the lines are on the spectrum tells us what element does the absorption and therefore what the surface of the sun is made of  Edit: the corona is extremely diffuse and basically transparent, the photosphere is actually what you see when you look at the sun, you can only see the corona during total solar eclipses, all the light wee see from the sun comes from this photosphere","So, we can see emission from the transition region because we see specific colors? Even though the transition region is under the corona?",Related,How does radio astronomy contribute to our understanding of the sun's composition?
3246,ELI5: How can solar physicists make observations of emission lines inside the Sun?,"Normally, telescopes work like big fancy digital cameras, light gets focus with lenses/mirrors onto a grid of really tiny buckets that count the amount of light particles that fall into it  For spectroscopy (finding these emission lines), the light is instead focused into a glass prism which splits the light apart based on its color, like that old Pink Floyd logo, which then gets spread onto a long line of those buckets, since amount the light breaks depends on its color, each bucket will now only catch light from a unique color  Turns out, the sun emits almost every color we know, except for a very few select colors, these specific colors are the ones absorbed by the stuff at the very outer layer of the sun and where the lines are on the spectrum tells us what element does the absorption and therefore what the surface of the sun is made of  Edit: the corona is extremely diffuse and basically transparent, the photosphere is actually what you see when you look at the sun, you can only see the corona during total solar eclipses, all the light wee see from the sun comes from this photosphere","So, we can see emission from the transition region because we see specific colors? Even though the transition region is under the corona?",Related,"So basically, we're just looking at the spots where emission lines are, and figuring out what elements are emitting those lines?"
3246,ELI5: How can solar physicists make observations of emission lines inside the Sun?,"Normally, telescopes work like big fancy digital cameras, light gets focus with lenses/mirrors onto a grid of really tiny buckets that count the amount of light particles that fall into it  For spectroscopy (finding these emission lines), the light is instead focused into a glass prism which splits the light apart based on its color, like that old Pink Floyd logo, which then gets spread onto a long line of those buckets, since amount the light breaks depends on its color, each bucket will now only catch light from a unique color  Turns out, the sun emits almost every color we know, except for a very few select colors, these specific colors are the ones absorbed by the stuff at the very outer layer of the sun and where the lines are on the spectrum tells us what element does the absorption and therefore what the surface of the sun is made of  Edit: the corona is extremely diffuse and basically transparent, the photosphere is actually what you see when you look at the sun, you can only see the corona during total solar eclipses, all the light wee see from the sun comes from this photosphere","So, we can see emission from the transition region because we see specific colors? Even though the transition region is under the corona?",Related,What are some of the specific wavelengths that emit emission lines?
3247,ELI5 Why is USA GDP growth so steady in comparison to EU?,"Not an economist, but at a *really* high level, I think it’s a few things:  * The EU is heavily regulated & expensive, and highly fragmented.  It’s a tough place to start new, disruptive businesses - it lags well behind the US in startups / VC funded stuff. * Europe is traditionally a hub in finance (particularly the UK), but Brexit + the center of the world moving towards Asia and away from Europe makes this increasingly less of an advantage & growth area. * Europe excels at traditional high science research (medicine / physics / etc), but it’s waaaay behind in software & IT. This has been a huge driver of US growth recently. * It’s quite reasonable to argue that the US stock market is overvalued / in a bubble fueled by tech and low interest rates and some of said growth is speculative & artificial.","Who do you think will be better off in the long run? Thanks for the awesome comment btw, very informative and clear.",Related,How does the diversified economy in the USA contribute to its GDP growth?
3247,ELI5 Why is USA GDP growth so steady in comparison to EU?,"Not an economist, but at a *really* high level, I think it’s a few things:  * The EU is heavily regulated & expensive, and highly fragmented.  It’s a tough place to start new, disruptive businesses - it lags well behind the US in startups / VC funded stuff. * Europe is traditionally a hub in finance (particularly the UK), but Brexit + the center of the world moving towards Asia and away from Europe makes this increasingly less of an advantage & growth area. * Europe excels at traditional high science research (medicine / physics / etc), but it’s waaaay behind in software & IT. This has been a huge driver of US growth recently. * It’s quite reasonable to argue that the US stock market is overvalued / in a bubble fueled by tech and low interest rates and some of said growth is speculative & artificial.","Who do you think will be better off in the long run? Thanks for the awesome comment btw, very informative and clear.",Related,What are some examples of technological advancements in the USA that have contributed to their steady GDP growth?
3247,ELI5 Why is USA GDP growth so steady in comparison to EU?,"Not an economist, but at a *really* high level, I think it’s a few things:  * The EU is heavily regulated & expensive, and highly fragmented.  It’s a tough place to start new, disruptive businesses - it lags well behind the US in startups / VC funded stuff. * Europe is traditionally a hub in finance (particularly the UK), but Brexit + the center of the world moving towards Asia and away from Europe makes this increasingly less of an advantage & growth area. * Europe excels at traditional high science research (medicine / physics / etc), but it’s waaaay behind in software & IT. This has been a huge driver of US growth recently. * It’s quite reasonable to argue that the US stock market is overvalued / in a bubble fueled by tech and low interest rates and some of said growth is speculative & artificial.","Who do you think will be better off in the long run? Thanks for the awesome comment btw, very informative and clear.",Related,In what ways do trade agreements and global trade agreements contribute to the steady growth of the USA's GDP?
3247,ELI5 Why is USA GDP growth so steady in comparison to EU?,"Not an economist, but at a *really* high level, I think it’s a few things:  * The EU is heavily regulated & expensive, and highly fragmented.  It’s a tough place to start new, disruptive businesses - it lags well behind the US in startups / VC funded stuff. * Europe is traditionally a hub in finance (particularly the UK), but Brexit + the center of the world moving towards Asia and away from Europe makes this increasingly less of an advantage & growth area. * Europe excels at traditional high science research (medicine / physics / etc), but it’s waaaay behind in software & IT. This has been a huge driver of US growth recently. * It’s quite reasonable to argue that the US stock market is overvalued / in a bubble fueled by tech and low interest rates and some of said growth is speculative & artificial.","Who do you think will be better off in the long run? Thanks for the awesome comment btw, very informative and clear.",Related,Can you explain how the Federal Reserve's monetary policy influences domestic economic activity in the U.S.
3247,ELI5 Why is USA GDP growth so steady in comparison to EU?,"Not an economist, but at a *really* high level, I think it’s a few things:  * The EU is heavily regulated & expensive, and highly fragmented.  It’s a tough place to start new, disruptive businesses - it lags well behind the US in startups / VC funded stuff. * Europe is traditionally a hub in finance (particularly the UK), but Brexit + the center of the world moving towards Asia and away from Europe makes this increasingly less of an advantage & growth area. * Europe excels at traditional high science research (medicine / physics / etc), but it’s waaaay behind in software & IT. This has been a huge driver of US growth recently. * It’s quite reasonable to argue that the US stock market is overvalued / in a bubble fueled by tech and low interest rates and some of said growth is speculative & artificial.","Who do you think will be better off in the long run? Thanks for the awesome comment btw, very informative and clear.",Related,Why is the U.S. dollar considered a safe investment currency?
3248,"ELI5 - What is the difference between a state, a county and a country?","A county is a subdivision of local government.  State and country can be used synonymously along with nation for the same thing: a sovereign entity under international law.  State can also be used for a semi-sovereign sub-national division.  Nation can also be used to refer to a traditional cultural / ethnic group.  It’s messy because these terms all come to us from history and really the modern concept of nation states is relatively new, only a few of hundred years old, so the usage of these terms is overlapping.",So this is why United States is not called United Counties - because of the sovereign thing?,Slightly Related,Can a county be used for a semi-sovereign sub-national division?
3248,"ELI5 - What is the difference between a state, a county and a country?","A county is a subdivision of local government.  State and country can be used synonymously along with nation for the same thing: a sovereign entity under international law.  State can also be used for a semi-sovereign sub-national division.  Nation can also be used to refer to a traditional cultural / ethnic group.  It’s messy because these terms all come to us from history and really the modern concept of nation states is relatively new, only a few of hundred years old, so the usage of these terms is overlapping.",So this is why United States is not called United Counties - because of the sovereign thing?,Slightly Related,"How does the term ""county"" differ from ""state"""
3248,"ELI5 - What is the difference between a state, a county and a country?","A county is a subdivision of local government.  State and country can be used synonymously along with nation for the same thing: a sovereign entity under international law.  State can also be used for a semi-sovereign sub-national division.  Nation can also be used to refer to a traditional cultural / ethnic group.  It’s messy because these terms all come to us from history and really the modern concept of nation states is relatively new, only a few of hundred years old, so the usage of these terms is overlapping.",So this is why United States is not called United Counties - because of the sovereign thing?,Slightly Related,What are some examples of governance structures that are typically seen in a county?
3248,"ELI5 - What is the difference between a state, a county and a country?","A county is a subdivision of local government.  State and country can be used synonymously along with nation for the same thing: a sovereign entity under international law.  State can also be used for a semi-sovereign sub-national division.  Nation can also be used to refer to a traditional cultural / ethnic group.  It’s messy because these terms all come to us from history and really the modern concept of nation states is relatively new, only a few of hundred years old, so the usage of these terms is overlapping.",So this is why United States is not called United Counties - because of the sovereign thing?,Slightly Related,"Are there any exceptions to the term ""state"""
3248,"ELI5 - What is the difference between a state, a county and a country?","A county is a subdivision of local government.  State and country can be used synonymously along with nation for the same thing: a sovereign entity under international law.  State can also be used for a semi-sovereign sub-national division.  Nation can also be used to refer to a traditional cultural / ethnic group.  It’s messy because these terms all come to us from history and really the modern concept of nation states is relatively new, only a few of hundred years old, so the usage of these terms is overlapping.",So this is why United States is not called United Counties - because of the sovereign thing?,Slightly Related,What are some examples of how state entities might incorporate other entities?
3248,"ELI5 - What is the difference between a state, a county and a country?","A county is a subdivision of local government.  State and country can be used synonymously along with nation for the same thing: a sovereign entity under international law.  State can also be used for a semi-sovereign sub-national division.  Nation can also be used to refer to a traditional cultural / ethnic group.  It’s messy because these terms all come to us from history and really the modern concept of nation states is relatively new, only a few of hundred years old, so the usage of these terms is overlapping.",So this is why United States is not called United Counties - because of the sovereign thing?,Slightly Related,In what ways do state and county governments typically collaborate?
3249,ELI5: Why has someone came up with cheaper jetfuel ?,"Electric airplanes have long been a great idea and people have tried to make work, but unfortunately, outside of experimental craft, its just not viable yet.  Airplane engines, both prop and jet engines, need a ton of power and a lot of fuel. Electric batteries simply aren't powerful enough compared to fuel at the same weight. You'd have so many batteries that they would weigh too much, fuel on other hand, provide a lot more energy for the weight. An electric plane wouldn't get too far, it would be too heavy. Fuel is a  great compromise as its quite powerful for the weight.  If we ever get batteries down an absolute ton in weight, we might see ideas for some smaller planes to operate on electric power. But the big planes would need even more reductions in battery weight or wild increases in battery efficiency and storage","Couldn't they be used to maintain flight though? Obviously reaching altitude has to require a lot of energy, could they be phased in like they are with cars, mot as a replacement. But to reduce consumption in certain areas. Where would one go about attempting to calculate something like this.",Slightly Related,What are the specific challenges associated with integrating electric propulsion systems into modern aviation systems?
