id,question,answer,follow-ups
296,ELI5: Why can't they make CPUs bigger if heat dissipation is a problem?,"Say you increase the size by a factor of 2 in both dimensions. That would result in quadruple the distance between two components - and while electrons do travel with very high speeds (not quite light speed, but close, relatively speaking) with the amount of electrons being moved you'd have a much slower CPU in the end.  That's why the actual transistors are getting smaller and smaller - so you can pack them more densely and reduce the distance between them, to make faster CPUs.",In what ways are current semiconductor manufacturing techniques limited when it comes to making larger CPUs?
19365,"ELI5: when someone shouts, why do people say that they have ""Thin walls""? Even if they *are* thin, if there aren't any cracks or anything, sound cannot travel beyond them and will be trapped within them, right?? I dont understand if it has anything to do with thickness, I think it's about if there","Sound travels through solid objects, some much better than others.  Stand in a closed bank safe and scream your head off, no one outside is going to hear you.  Wrap yourself in tissue paper and talk normally and people will hear you the same as if you weren't wrapped up.  Apartment walls fall somewhere in between, with some being thick and solid with multiple layers of plaster and insulation that do a really good job absorbing (and dissipating) sound waves without transmitting them through the wall.  Others are hollow spaces with a thin sheet of drywall on either side, and these tend to do a really poor job of absorbing the sound waves.  These ""thin walls"" make it easier to hear what's happening on the other side.",What measures can be taken to improve the acoustic properties of thin walls?
4543,ELI5: Why (or how?) did mint become the ‘gold standard’ for oral health?,"Toothpaste has tin in it, and tin has a bad metallic taste.  To overpower that, it takes a strong flavor, like mint or peppermint.  Other than cinnamon, there aren't many low cost flavors that will cover the tin taste.",Why is maintaining saliva production crucial for oral health?
7824,"ELI5 What does it mean to say that ""electromagnetic radiation is a wavelength that is inversely proportional to its frequency""?","In a nutshell, the higher the frequency, the shorter the wavelength.  Since frequency is a measurement of how many times an electromagnetic wave passes a fixed point per second, that means that shorter waves are going to pass more often, and therefore have a higher frequency.",What are some applications of high-frequency waves like gamma rays?
11314,ELI5: What are the questions scientists are trying to answer for the cure to cancer?,Curing cancer is like trying to develope a weapon that when fired into a crowd will only kill terrorists. Cancer cells are still your own cells and mostly behave like normal cells (in terms of what kills them). So the big question scientists have to find an answer too is: what differentiates cancer cells enough from healthy cells to kill them off without killing the rest of the body with them.,What role does bioinformatics play in predicting cancer behavior and tailoring personalized treatment plans?
4574,ELI5: How can our ears know if a sound is coming from up high or down low?,"Our ears are an odd shape, so the sound bounces around differently, depending on where the sound is coming from.   When you're very young, your brain figures out that if a sound sounds a certain way, it's probably coming from a certain direction.",What is the significance of frequency spectrum analysis in vertical sound localization?
13078,"ELI5: the anti-work movement. How does the world keep turning, so to speak, if work is abolished?","with universal basic income, people can still take a normal job as bonus money, or work on their passion projects, or be poor with basic needs met.",How would social welfare systems support voluntary and passion-driven contributions in society?
5153,ELI5: What is a dynamic volume?,"It's when a partition on a physical drive (when your computer says C: or D:, for instance), can spread to one or more drive physical drive to fits its needs for size and speed. For instance, if your D: Drive is across an HDD and an SSD, you get a dynamic volume that can take advantage of both as needed, but is also dependent on the presence and survivability of both woth work.  However, it does not necessarily have to be on multiple physical drives, as it can increase its own size on the same drive as it needs to, automatically.   Basically, a dynamic drive is a drive that adjusts its specs to fit what it needs.",What is the significance of dynamic resizing in dynamic volumes?
3193,Eli5: How and why do the prices of stocks rise and fall?,"Supply and demand.  Imagine there is 100 of a thing that people want, and 100 people want it. The supply and demand are equal so the price stays the same (equal amount of sales and buys)  Now if only 10 people want it, the price will drop (more selling than buying)  However if there's 1000 people trying to buy, the price will increase (more buying than selling)",Why might strong earnings lead to an increase in a stock's price?
8836,ELI5: How does night vision work?,"Basically it uses small amounts of infrared light that is reflected off objects naturally, then it converts them using optoelectric image enhancement changing it from the invisible infared into the green light show that is placed right in front of you. The shitty thing about night vision is if you are moving with it your depth perception is shit. They have also have some newer types of night vision that use other digitial enhancment but I never played with those so idk how those work.","What advantages do digital enhancements like recording, zooming, and overlaying information provide in night vision devices?"
